time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
127, 1.17518E-02, 4.74488E-03, 3.13371E-03, 5.66989E-03, 2.63105E-04, 2.11523E-04, 1.75102E-04, 1.26397E-03
128, 1.19061E-02, 4.79458E-03, 3.17405E-03, 5.72923E-03, 2.64842E-04, 2.12986E-04, 1.76338E-04, 1.28944E-03
129, 1.20585E-02, 4.84360E-03, 3.21366E-03, 5.78811E-03, 2.66563E-04, 2.14447E-04, 1.77570E-04, 1.31513E-03
130, 1.22088E-02, 4.89194E-03, 3.25251E-03, 5.84649E-03, 2.68263E-04, 2.15903E-04, 1.78799E-04, 1.34105E-03
131, 1.23571E-02, 4.93956E-03, 3.29055E-03, 5.90436E-03, 2.69955E-04, 2.17361E-04, 1.80025E-04, 1.36714E-03
132, 1.25030E-02, 4.98645E-03, 3.32774E-03, 5.96168E-03, 2.71635E-04, 2.18826E-04, 1.81255E-04, 1.39340E-03
133, 1.26466E-02, 5.03258E-03, 3.36404E-03, 6.01843E-03, 2.73297E-04, 2.20288E-04, 1.82485E-04, 1.41981E-03
134, 1.27877E-02, 5.07792E-03, 3.39941E-03, 6.07459E-03, 2.74959E-04, 2.21743E-04, 1.83714E-04, 1.44639E-03
135, 1.29262E-02, 5.12247E-03, 3.43380E-03, 6.13013E-03, 2.76630E-04, 2.23192E-04, 1.84939E-04, 1.47311E-03
136, 1.30619E-02, 5.16618E-03, 3.46718E-03, 6.18504E-03, 2.78289E-04, 2.24645E-04, 1.86166E-04, 1.49997E-03
137, 1.31947E-02, 5.20904E-03, 3.49951E-03, 6.23928E-03, 2.79960E-04, 2.26092E-04, 1.87391E-04, 1.52694E-03
138, 1.33246E-02, 5.25104E-03, 3.53073E-03, 6.29283E-03, 2.81640E-04, 2.27532E-04, 1.88614E-04, 1.55398E-03
139, 1.34514E-02, 5.29214E-03, 3.56083E-03, 6.34566E-03, 2.83317E-04, 2.28968E-04, 1.89835E-04, 1.58110E-03
140, 1.35749E-02, 5.33232E-03, 3.58974E-03, 6.39776E-03, 2.84991E-04, 2.30399E-04, 1.91052E-04, 1.60828E-03
141, 1.36951E-02, 5.37157E-03, 3.61743E-03, 6.44910E-03, 2.86648E-04, 2.31831E-04, 1.92264E-04, 1.63549E-03
142, 1.38119E-02, 5.40986E-03, 3.64387E-03, 6.49966E-03, 2.88292E-04, 2.33257E-04, 1.93471E-04, 1.66274E-03
143, 1.39250E-02, 5.44718E-03, 3.66901E-03, 6.54940E-03, 2.89924E-04, 2.34680E-04, 1.94672E-04, 1.69002E-03
144, 1.40345E-02, 5.48350E-03, 3.69282E-03, 6.59832E-03, 2.91545E-04, 2.36105E-04, 1.95872E-04, 1.71729E-03
145, 1.41402E-02, 5.51881E-03, 3.71525E-03, 6.64637E-03, 2.93151E-04, 2.37530E-04, 1.97069E-04, 1.74452E-03
146, 1.42419E-02, 5.55308E-03, 3.73627E-03, 6.69355E-03, 2.94739E-04, 2.38945E-04, 1.98266E-04, 1.77171E-03
147, 1.43396E-02, 5.58630E-03, 3.75584E-03, 6.73983E-03, 2.96337E-04, 2.40362E-04, 1.99464E-04, 1.79884E-03
148, 1.44331E-02, 5.61844E-03, 3.77393E-03, 6.78518E-03, 2.97938E-04, 2.41778E-04, 2.00655E-04, 1.82589E-03
149, 1.45224E-02, 5.64950E-03, 3.79050E-03, 6.82959E-03, 2.99543E-04, 2.43186E-04, 2.01847E-04, 1.85286E-03
150, 1.46072E-02, 5.67945E-03, 3.84114E-03, 6.87303E-03, 3.01139E-04, 2.44593E-04, 2.03041E-04, 1.87974E-03
151, 1.46876E-02, 5.70828E-03, 3.91888E-03, 6.91547E-03, 3.02731E-04, 2.45991E-04, 2.04235E-04, 1.90651E-03
152, 1.47633E-02, 5.73596E-03, 3.99649E-03, 6.95690E-03, 3.04325E-04, 2.47392E-04, 2.05427E-04, 1.93315E-03
153, 1.48344E-02, 5.76249E-03, 4.07390E-03, 6.99730E-03, 3.05917E-04, 2.48791E-04, 2.06627E-04, 1.95967E-03
154, 1.49006E-02, 5.78785E-03, 4.15108E-03, 7.03664E-03, 3.07501E-04, 2.50185E-04, 2.07829E-04, 1.98604E-03
155, 1.49619E-02, 5.81203E-03, 4.22797E-03, 7.07491E-03, 3.09072E-04, 2.51578E-04, 2.09029E-04, 2.01224E-03
156, 1.50181E-02, 5.83500E-03, 4.30451E-03, 7.11208E-03, 3.10660E-04, 2.52980E-04, 2.10226E-04, 2.03826E-03
157, 1.50692E-02, 5.85676E-03, 4.38065E-03, 7.14813E-03, 3.12237E-04, 2.54380E-04, 2.11416E-04, 2.06410E-03
158, 1.51151E-02, 5.87730E-03, 4.45634E-03, 7.18305E-03, 3.13818E-04, 2.55775E-04, 2.12599E-04, 2.08972E-03
159, 1.51557E-02, 5.89659E-03, 4.53151E-03, 7.21682E-03, 3.15384E-04, 2.57162E-04, 2.13779E-04, 2.11514E-03
160, 1.51908E-02, 5.91464E-03, 4.60611E-03, 7.24941E-03, 3.16938E-04, 2.58542E-04, 2.14963E-04, 2.14034E-03
161, 1.52204E-02, 5.93142E-03, 4.68008E-03, 7.28081E-03, 3.18511E-04, 2.59916E-04, 2.16145E-04, 2.16532E-03
162, 1.52444E-02, 5.94693E-03, 4.75337E-03, 7.31100E-03, 3.20076E-04, 2.61284E-04, 2.17323E-04, 2.19006E-03
163, 1.52626E-02, 5.96115E-03, 4.82592E-03, 7.33996E-03, 3.21630E-04, 2.62655E-04, 2.18503E-04, 2.21454E-03
164, 1.52751E-02, 5.97408E-03, 4.89767E-03, 7.36769E-03, 3.23171E-04, 2.64023E-04, 2.19672E-04, 2.23876E-03
165, 1.52818E-02, 5.98572E-03, 4.96855E-03, 7.39415E-03, 3.24691E-04, 2.65396E-04, 2.20841E-04, 2.26269E-03
166, 1.53560E-02, 5.99604E-03, 5.03852E-03, 7.41934E-03, 3.26206E-04, 2.66773E-04, 2.22014E-04, 2.28632E-03
167, 1.54771E-02, 6.00504E-03, 5.10751E-03, 7.44325E-03, 3.27710E-04, 2.68156E-04, 2.23185E-04, 2.30965E-03
168, 1.55943E-02, 6.01272E-03, 5.17546E-03, 7.46585E-03, 3.29228E-04, 2.69541E-04, 2.24357E-04, 2.33265E-03
169, 1.57073E-02, 6.01907E-03, 5.24230E-03, 7.48713E-03, 3.30768E-04, 2.70923E-04, 2.25529E-04, 2.35532E-03
170, 1.58160E-02, 6.03571E-03, 5.30799E-03, 7.50709E-03, 3.32294E-04, 2.72305E-04, 2.26699E-04, 2.37765E-03
171, 1.59203E-02, 6.05333E-03, 5.37246E-03, 7.52571E-03, 3.33804E-04, 2.73685E-04, 2.27868E-04, 2.39961E-03
172, 1.60200E-02, 6.06972E-03, 5.43565E-03, 7.54297E-03, 3.35298E-04, 2.75063E-04, 2.29041E-04, 2.42121E-03
173, 1.61151E-02, 6.08487E-03, 5.49750E-03, 7.55887E-03, 3.36777E-04, 2.76436E-04, 2.30217E-04, 2.44243E-03
174, 1.62054E-02, 6.09877E-03, 5.55795E-03, 7.57340E-03, 3.38254E-04, 2.77805E-04, 2.31388E-04, 2.46326E-03
175, 1.62908E-02, 6.11141E-03, 5.61694E-03, 7.58655E-03, 3.39750E-04, 2.79165E-04, 2.32560E-04, 2.48369E-03
176, 1.63712E-02, 6.12533E-03, 5.67441E-03, 7.59830E-03, 3.41241E-04, 2.80516E-04, 2.33729E-04, 2.50372E-03
177, 1.64464E-02, 6.16143E-03, 5.73029E-03, 7.60866E-03, 3.42717E-04, 2.81861E-04, 2.34891E-04, 2.52333E-03
178, 1.65163E-02, 6.19640E-03, 5.78454E-03, 7.61761E-03, 3.44178E-04, 2.83212E-04, 2.36050E-04, 2.54253E-03
179, 1.65808E-02, 6.23021E-03, 5.83709E-03, 7.62605E-03, 3.45621E-04, 2.84562E-04, 2.37214E-04, 2.56129E-03
180, 1.66399E-02, 6.26286E-03, 5.88788E-03, 7.67462E-03, 3.47076E-04, 2.85911E-04, 2.38379E-04, 2.57962E-03
181, 1.66933E-02, 6.29764E-03, 5.93686E-03, 7.72198E-03, 3.48540E-04, 2.87252E-04, 2.39541E-04, 2.59750E-03
182, 1.67409E-02, 6.33790E-03, 5.98396E-03, 7.76811E-03, 3.49989E-04, 2.88591E-04, 2.40698E-04, 2.61494E-03
183, 1.67828E-02, 6.37704E-03, 6.02913E-03, 7.81299E-03, 3.51433E-04, 2.89927E-04, 2.41850E-04, 2.63192E-03
